09203,34912,3491221,ﾄﾁｷﾞｹﾝ,ﾄﾁｷﾞｼ,ﾌｼﾞｵｶﾏﾁｼﾀﾐﾔ,栃木県,栃木市,藤岡町下宮,0,0,0,0,0,0
11210,34911,3491144,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｱｻﾞﾏ,埼玉県,加須市,阿佐間,0,0,0,0,0,0
11210,34911,3491146,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｱﾗｲｼﾝﾃﾞﾝ,埼玉県,加須市,新井新田,0,0,0,0,0,0
11210,34912,3491211,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｲｲﾂﾞﾐ,埼玉県,加須市,飯積,0,0,0,0,0,0
11210,34912,3491215,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｲｶﾞﾌｸﾛ,埼玉県,加須市,伊賀袋,0,0,0,0,0,0
11210,34911,3491143,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｵｲﾃﾞ,埼玉県,加須市,生出,0,0,0,0,0,0
11210,34912,3491202,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｵﾉﾌｸﾛ,埼玉県,加須市,小野袋,0,0,0,0,0,0
11210,34912,3491203,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｶｼﾜﾄﾞ,埼玉県,加須市,柏戸,0,0,0,0,0,0
11210,34911,3491147,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｷﾀｵｵｸﾜ,埼玉県,加須市,北大桑,0,0,0,0,0,0
11210,34911,3491134,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｷﾀｼﾓｱﾗｲ,埼玉県,加須市,北下新井,0,0,0,0,0,0
11210,34911,3491135,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｷﾀﾋﾗﾉ,埼玉県,加須市,北平野,0,0,0,0,0,0
11210,34911,3491154,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｹﾞｷｼﾝﾃﾞﾝ,埼玉県,加須市,外記新田,0,0,0,0,0,0
11210,34911,3491133,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｺﾄﾖﾘ,埼玉県,加須市,琴寄,0,0,0,0,0,0
11210,34912,3491214,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｺﾏﾊﾞ,埼玉県,加須市,駒場,0,0,0,0,0,0
11210,34912,3491213,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｻｶｴ,埼玉県,加須市,栄,0,0,0,0,0,0
11210,34911,3491151,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｻﾞﾜ,埼玉県,加須市,佐波,0,0,0,0,0,0
11210,34911,3491142,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｼｬｸｼｷﾞ,埼玉県,加須市,杓子木,0,0,0,0,0,0
11210,34911,3491153,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｼﾝｶﾜﾄﾞｵﾘ,埼玉県,加須市,新川通,0,0,0,0,0,0
11210,34911,3491158,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｼﾝﾄﾈ,埼玉県,加須市,新利根,0,0,1,0,0,0
11210,34911,3491155,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ｽﾅﾊﾗ,埼玉県,加須市,砂原,0,0,0,0,0,0
11210,34911,3491157,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾄﾞｳﾒ,埼玉県,加須市,道目,0,0,0,0,0,0
11210,34911,3491148,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾄﾖﾉﾀﾞｲ,埼玉県,加須市,豊野台,0,0,1,0,0,0
11210,34911,3491131,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾅｶﾜﾀ,埼玉県,加須市,中渡,0,0,0,0,0,0
11210,34911,3491132,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾊﾀｲ,埼玉県,加須市,旗井,0,0,0,0,0,0
11210,34911,3491156,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾎｿﾏ,埼玉県,加須市,細間,0,0,0,0,0,0
11210,34912,3491216,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾎﾝｺﾞｳ,埼玉県,加須市,本郷,0,0,0,0,0,0
11210,34911,3491145,ｻｲﾀﾏｹﾝ,ｶｿﾞｼ,ﾏｸﾁ,埼玉県,加須市,間口,0,0,0,0,0,0
