10425,377  ,3840097,ｸﾞﾝﾏｹﾝ,ｱｶﾞﾂﾏｸﾞﾝﾂﾏｺﾞｲﾑﾗ,ｶﾝﾊﾞﾗ(ﾀｶﾐﾈｺｳｹﾞﾝ),群馬県,吾妻郡嬬恋村,鎌原（高峰高原）,1,0,0,0,0,0
20208,384  ,3840000,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,小諸市,以下に掲載がない場合,0,0,0,0,0,0
20208,384  ,3840025,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｱｲｵｲﾁｮｳ,長野県,小諸市,相生町,0,0,1,0,0,0
20208,384  ,3840011,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｱｶｻｶ,長野県,小諸市,赤坂,0,0,1,0,0,0
20208,384  ,3840021,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｱﾏｲｹ,長野県,小諸市,天池,0,0,0,0,0,0
20208,384  ,3840062,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｱﾗﾎﾘ,長野県,小諸市,荒堀,0,0,0,0,0,0
20208,384  ,3840014,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｱﾗﾏﾁ,長野県,小諸市,荒町,0,0,1,0,0,0
20208,384  ,3840096,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｲｹﾉﾏｴ,長野県,小諸市,池ノ前,0,0,0,0,0,0
20208,384  ,3840047,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｲｺ,長野県,小諸市,井子,0,0,0,0,0,0
20208,384  ,3840054,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｲｼﾄｳｹﾞ,長野県,小諸市,石峠,0,0,0,0,0,0
20208,384  ,3840083,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｲﾁ,長野県,小諸市,市,0,0,0,0,0,0
20208,384  ,3840033,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｲﾁﾏﾁ,長野県,小諸市,市町,0,0,1,0,0,0
20208,384  ,3840075,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｳｴﾉﾀﾞｲﾗ,長野県,小諸市,上ノ平,0,0,0,0,0,0
20208,384  ,3840042,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｳｼﾛﾀﾞｲﾗ,長野県,小諸市,後平,0,0,0,0,0,0
20208,384  ,3840077,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｵｵｸｲ,長野県,小諸市,大杭,0,0,0,0,0,0
20208,384  ,3840071,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｵｵｸﾎﾞ,長野県,小諸市,大久保,0,0,0,0,0,0
20208,384  ,3840031,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｵｵﾃ,長野県,小諸市,大手,0,0,1,0,0,0
20208,384  ,3840037,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｵｼﾀﾞｼ,長野県,小諸市,押出,0,0,0,0,0,0
20208,384  ,3840802,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｵﾂ,長野県,小諸市,乙,0,0,0,0,0,0
20208,384  ,3840004,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｵﾄﾒ,長野県,小諸市,乙女,0,0,0,0,0,0
20208,384  ,3840055,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｶｼﾜｷﾞ,長野県,小諸市,柏木,0,0,0,0,0,0
20208,384  ,3840061,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｶﾏｽ,長野県,小諸市,加増,0,0,0,0,0,0
20208,384  ,3840002,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｶﾗﾏﾂ,長野県,小諸市,唐松,0,0,0,0,0,0
20208,384  ,3840805,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｷ,長野県,小諸市,己,0,0,0,0,0,0
20208,384  ,3840076,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｸﾎﾞ,長野県,小諸市,久保,0,0,0,0,0,0
20208,384  ,3840024,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｸﾏﾉﾄﾞｳ,長野県,小諸市,熊ノ堂,0,0,0,0,0,0
20208,384  ,3840801,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｺｳ,長野県,小諸市,甲,0,0,0,0,0,0
20208,384  ,3840032,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｺｼﾞｮｳ,長野県,小諸市,古城,0,0,1,0,0,0
20208,384  ,3840001,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｺﾊﾞﾗ,長野県,小諸市,小原,0,0,0,0,0,0
20208,384  ,3840015,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｺﾝﾔﾏﾁ,長野県,小諸市,紺屋町,0,0,1,0,0,0
20208,384  ,3840018,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｻｶﾉｳｴ,長野県,小諸市,坂ノ上,0,0,0,0,0,0
20208,384  ,3840806,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｼｵﾉ,長野県,小諸市,塩野,0,0,0,0,0,0
20208,384  ,3840809,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｼｹﾞﾉｺｳ,長野県,小諸市,滋野甲,0,0,0,0,0,0
20208,384  ,3840023,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｼﾉﾉﾒ,長野県,小諸市,東雲,0,0,1,0,0,0
20208,384  ,3840046,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｼﾎﾞｳﾀ,長野県,小諸市,芝生田,0,0,0,0,0,0
20208,384  ,3840034,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｼﾝﾏﾁ,長野県,小諸市,新町,0,0,1,0,0,0
20208,384  ,3840082,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ｽﾜﾔﾏ,長野県,小諸市,諏訪山,0,0,0,0,0,0
20208,384  ,3840045,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾀｷﾊﾞﾗ,長野県,小諸市,滝原,0,0,0,0,0,0
20208,384  ,3840028,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾀﾏﾁ,長野県,小諸市,田町,0,0,1,0,0,0
20208,384  ,3840007,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾂﾙﾏｷ,長野県,小諸市,鶴巻,0,0,1,0,0,0
20208,384  ,3840804,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾃｲ,長野県,小諸市,丁,0,0,0,0,0,0
20208,384  ,3840072,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾄｷｸﾎﾞ,長野県,小諸市,鴇久保,0,0,0,0,0,0
20208,384  ,3840038,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾄﾁｷﾞ,長野県,小諸市,栃木,0,0,0,0,0,0
20208,384  ,3840074,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾆｼｳﾗ,長野県,小諸市,西浦,0,0,0,0,0,0
20208,384  ,3840044,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾆｼﾊﾞﾗ,長野県,小諸市,西原,0,0,0,0,0,0
20208,384  ,3840048,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾇｶﾁ,長野県,小諸市,糠地,0,0,0,0,0,0
20208,384  ,3840064,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾉﾘｾ,長野県,小諸市,乗瀬,0,0,0,0,0,0
20208,384  ,3840051,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾊﾁﾏﾝ,長野県,小諸市,八満,0,0,0,0,0,0
20208,384  ,3840016,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾊﾁﾏﾝﾁｮｳ,長野県,小諸市,八幡町,0,0,1,0,0,0
20208,384  ,3840052,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋｶﾞｼｸ,長野県,小諸市,東区,0,0,0,0,0,0
20208,384  ,3840008,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋｶﾞｼｺﾓﾛ,長野県,小諸市,東小諸,0,0,0,0,0,0
20208,384  ,3840003,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋｶﾞｼﾔﾏ,長野県,小諸市,東山,0,0,0,0,0,0
20208,384  ,3840041,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋｼﾀﾞｲﾗ,長野県,小諸市,菱平,0,0,0,0,0,0
20208,384  ,3840094,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋﾄﾂﾔ,長野県,小諸市,一ツ谷,0,0,0,0,0,0
20208,384  ,3840065,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋﾊﾞﾘｶﾞｵｶ,長野県,小諸市,ひばりケ丘,0,0,0,0,0,0
20208,384  ,3840092,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾋﾗﾊﾗ,長野県,小諸市,平原,0,0,0,0,0,0
20208,384  ,3840053,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾌｼﾞﾂｶ,長野県,小諸市,藤塚,0,0,0,0,0,0
20208,384  ,3840036,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾌｼﾞﾐﾀﾞｲﾗ,長野県,小諸市,富士見平,0,0,0,0,0,0
20208,384  ,3840803,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾍｲ,長野県,小諸市,丙,0,0,0,0,0,0
20208,384  ,3840026,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾎﾝﾏﾁ,長野県,小諸市,本町,0,0,1,0,0,0
20208,384  ,3840022,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾏﾂｲ,長野県,小諸市,松井,0,0,1,0,0,0
20208,384  ,3840091,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐｶｹﾞ,長野県,小諸市,御影,0,0,0,0,0,0
20208,384  ,3840808,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐｶｹﾞｼﾝﾃﾞﾝ,長野県,小諸市,御影新田,0,0,0,0,0,0
20208,384  ,3840017,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾂﾜ,長野県,小諸市,三和,0,0,1,0,0,0
20208,384  ,3840013,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾄﾞﾘｶﾞｵｶ,長野県,小諸市,緑ケ丘,0,0,0,0,0,0
20208,384  ,3840063,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾅﾐｶﾞﾊﾗ,長野県,小諸市,南ケ原,0,0,0,0,0,0
20208,384  ,3840012,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾅﾐﾁｮｳ,長野県,小諸市,南町,0,0,1,0,0,0
20208,384  ,3840081,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾏｷｶﾞﾊﾗ,長野県,小諸市,御牧ケ原,0,0,0,0,0,0
20208,384  ,3840084,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾐﾄﾘ,長野県,小諸市,耳取,0,0,0,0,0,0
20208,384  ,3840078,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾔｻﾞﾜ,長野県,小諸市,宮沢,0,0,0,0,0,0
20208,384  ,3840005,ﾅｶﾞﾉｹﾝ,ｺﾓﾛｼ,ﾐﾕｷﾁｮｳ,長野県,小諸市,御幸町,0,0,0,0,0,0
