10211,38901,3890121,ｸﾞﾝﾏｹﾝ,ｱﾝﾅｶｼ,ﾏﾂｲﾀﾞﾏﾁﾄｳｹﾞ,群馬県,安中市,松井田町峠,0,0,0,0,0,0
15217,38922,3892261,ﾆｲｶﾞﾀｹﾝ,ﾐｮｳｺｳｼ,ﾀﾙﾓﾄ(1101ﾊﾞﾝﾁ),新潟県,妙高市,樽本（１１０１番地）,1,0,0,0,0,0
20201,38911,3891104,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁｱｻﾉ,長野県,長野市,豊野町浅野,0,0,0,0,0,0
20201,38911,3891106,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁｲｼ,長野県,長野市,豊野町石,0,0,0,0,0,0
20201,38911,3891102,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁｵｵｸﾗ,長野県,長野市,豊野町大倉,0,0,0,0,0,0
20201,38911,3891103,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁｶﾆｻﾜ,長野県,長野市,豊野町蟹沢,0,0,0,0,0,0
20201,38911,3891101,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁｶﾜﾀﾆ,長野県,長野市,豊野町川谷,0,0,0,0,0,0
20201,38911,3891105,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁﾄﾖﾉ,長野県,長野市,豊野町豊野,0,0,0,0,0,0
20201,38911,3891107,ﾅｶﾞﾉｹﾝ,ﾅｶﾞﾉｼ,ﾄﾖﾉﾏﾁﾐﾅﾐｺﾞｳ,長野県,長野市,豊野町南郷,0,0,0,0,0,0
20211,38921,3892103,ﾅｶﾞﾉｹﾝ,ﾅｶﾉｼ,ｱﾅﾀﾞ,長野県,中野市,穴田,0,0,0,0,0,0
20211,38921,3892102,ﾅｶﾞﾉｹﾝ,ﾅｶﾉｼ,ｶﾐｲﾏｲ,長野県,中野市,上今井,0,0,0,0,0,0
20211,38923,3892371,ﾅｶﾞﾉｹﾝ,ﾅｶﾉｼ,ﾀｶﾞﾐ(1300-2511ﾊﾞﾝﾁ),長野県,中野市,田上（１３００〜２５１１番地）,1,0,0,0,0,0
20211,38921,3892101,ﾅｶﾞﾉｹﾝ,ﾅｶﾉｼ,ﾄﾖﾂ,長野県,中野市,豊津,0,0,0,0,0,0
20211,38921,3892104,ﾅｶﾞﾉｹﾝ,ﾅｶﾉｼ,ﾅｶﾞｴ,長野県,中野市,永江,0,0,0,0,0,0
20213,38922,3892200,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,飯山市,以下に掲載がない場合,0,0,0,0,0,0
20213,38922,3892251,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｱｻﾋ,長野県,飯山市,旭,0,0,0,0,0,0
20213,38922,3892253,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｲｲﾔﾏ,長野県,飯山市,飯山,0,0,0,0,0,0
20213,38926,3892602,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｲﾁﾔﾏ,長野県,飯山市,一山,0,0,0,0,0,0
20213,38924,3892415,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｵｵｲｹ,長野県,飯山市,大池,0,0,0,0,0,0
20213,38922,3892234,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｷｼﾞﾏ,長野県,飯山市,木島,0,0,0,0,0,0
20213,38922,3892252,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｺｻﾞﾜﾗ,長野県,飯山市,小佐原,0,0,0,0,0,0
20213,38924,3892418,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｺﾄﾌﾞｷ,長野県,飯山市,寿,0,0,0,0,0,0
20213,38922,3892235,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｻｶｲ,長野県,飯山市,坂井,0,0,0,0,0,0
20213,38922,3892255,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｼｽﾞﾏ,長野県,飯山市,静間,0,0,0,0,0,0
20213,38922,3892232,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｼﾓｷｼﾞﾏ,長野県,飯山市,下木島,0,0,0,0,0,0
20213,38922,3892242,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ｿﾉﾜﾀ,長野県,飯山市,其綿,0,0,0,0,0,0
20213,38926,3892601,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾃﾙｵｶ,長野県,飯山市,照岡,0,0,0,0,0,0
20213,38924,3892413,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾃﾙｻﾄ,長野県,飯山市,照里,0,0,0,0,0,0
20213,38922,3892231,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾃﾝｼﾝﾄﾞｳ,長野県,飯山市,天神堂,0,0,0,0,0,0
20213,38924,3892412,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾄｷｻﾄ,長野県,飯山市,常郷,0,0,0,0,0,0
20213,38924,3892414,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾄｷﾜ,長野県,飯山市,常盤,0,0,0,0,0,0
20213,38922,3892258,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾄﾐｸﾗ,長野県,飯山市,富倉,0,0,0,0,0,0
